Franky Perez 
Frank Zappa 
Freddie Green 
Freddie King
Freddie Stone 
Fred Frith 
Fredrik Åkesson 
Fred Sonic Smith
Fred Sonic Smith 
Fred Tackett 
Gabe Serbian 
Gábor Szabó
Gary Chapman
Gary Duncan 
Gary Green 
Gary Hoey
Gary Kemp 
Gary Lee Conner 
Gary Moore 
Gary Myrick 
Gary Richrath 
Gary Rossington 
Gavin Rossdale 
Gaz Coombes 
Gem Archer 
Gene Bertoncini
Gene Cornish 
Gene Ween 
Geordie Walker 
George Benson
George Gobel
George Harrison 
George Kooymans 
George Lynch 
George McConnell 
George Strait
George Thorogood
George Van Eps
Gerhard Graf-Martinez
Gerry Marsden 
Gerry Rafferty
G. E. Smith 
Gian Pyres 
Gilberto Gil
Gilby Clarke 
Giuliano Sangiorgi 
Glen Buxton 
Glen Campbell
Glen Drover 
Glenn Danzig 
Glenn Frey 
Glenn Tilbrook 
Glenn Tipton 
Gordon Giltrap
Gordon Waller 
GP Hall
Graeme Taylor 
Graham Coxon 
Graham Nash 
Grant Green
Grant Nicholas 
Greg Camp 
Greg Ginn 
Greg Hetson 
Greg Howe
Gregori Chad Petree 
Gregory Doc Rossi
Greg Sage 
Grisha Goryachev
Gui Mallon
Guinga
Gus G 
Gustavo Assis-Brasil
Gustavo Cerati 
Guthrie Govan
Guy Berryman 
Gwyn Ashton
Hal Lindes
Hank Marvin 
Harlow Wilcox
Harvey Mandel 
Hayley Williams 
Heitor Teixeira Pereira 
Helge Schneider
Henry Cluney 
Henry Vestine 
Herb Ellis
Herbert Khaury 
Heri Joensen 
Herman Li 
hide 
Hillel Slovak 
Hilton Valentine 
Hiroyuki Hayashi 
Howard E. Scott 
Howard Moss
Howlin' Wolf
Hubert Sumlin 
Hucky Eichelmann
Hugh Cornwell 
Hughie Thomasson 
Hugh Laurie 
Hugh McCracken
Hyde 
Ian Anderson 
Ian Bairnson 
Ian D'Sa 
Ian Haug 
Ian McCallum 
Ichiro Ito 
Igor Presnyakov 
Ihsahn 
Ike Turner 
Inoran 
Ira Newborn
Irina Kulikova
Isaac Brock 
Isaac Hanson 
Ivar Bjørnson 
Ivar Haglund
Izzy Stradlin 
Jack Black 
Jack Johnson
Jackson Browne 
Jack Starr
Jack White 
Jack Wilkins
Jacky Vincent 
Jacques Brautbar 
Jade Puget 
Jake Andrews
Jake Burns 
Jake Cinninger 
Jake E. Lee
Jake Pitts 
Jakob Dylan 
James Bourne 
James Bowman 
James Burton 
James Dean Bradfield 
James Grant 
James Gurley 
James Hetfield 
James Hogan
James Honeyman-Scott 
James Iha 
James JY Young 
James Mankey 
James Marsters
James McIlroy 
James Murphy 
James Root 
James Shaffer 
James Stevenson
James Valentine 
James Williamson
Jamie Arentzen 
Jamie Cook 
Jan Akkerman 
Jandek
Jan Dumée 
Janet Robin
Jane Wiedlin 
Janick Gers 
Jani Liimatainen 
Jan Kuehnemund 
Jared Leto 
Jaret Reddick 
Jari Mäenpää 
Jason Becker 
Jason Cropper 
Jason De Ron 
Jason Everman 
Jason Moss 
Jason Mraz
Jason Orange 
Jason Roberts 
Jason Stollsteimer 
Jason Wade 
Jason White 
Javier Ruibal
Jaycee Chan
Jay Chou
Jay Ferguson 
Jay Graydon
Jay Jay French 
Jean-Baptiste Lully
Jean-Paul Bourelly
Jeff Arwadi 
Jeff Beck 
Jeff Buckley
Jeff Cotton 
Jeff Hanneman 
Jeff Healey
Jeff Linsky
Jeff Loomis 
Jeff Lynne 
Jeff Pearce 
Jeffrey Kollman 
Jeff Sherman 
Jeff Skunk Baxter 
Jeff Young 
Jennette McCurdy
Jennifer Batten
Jeremy Camp
Jeremy Jinxx Ferguson 
Jerome Fontamillas 
JerryC
Jerry Cantrell 
Jerry Chang
Jerry Donahue
Jerry Douglas
Jerry Garcia 
Jerry Harrison 
Jerry Miller 
Jesper Strömblad 
